"hostid","host","name","assets name","VM Name","Status","DC","ASSETS OK","assets ip","ASSETS IP OK","interfaces.ip","ASSETS name","Action","Notes","Target name"
10084,"SRV62","SRV62 - Zabbix 6.0 Backend","SRV62","SRV62_ZabbixBackend_ex_SRV204","poweredOn","RWERES-DC",TRUE,"10.112.61.98",FALSE,"127.0.0.1","#N/A",,,
10106,"SRV11",,"SRV11","SRV11_FTP_WSUS_hMail","poweredOn","RWERES-DC",TRUE,"10.112.61.242",TRUE,"10.112.61.242","#N/A",,,
10110,"SRV40",,"SRV40","SRV40_SoftingVOB","poweredOn","RWERES-DC",TRUE,"10.112.63.201",TRUE,"10.112.63.201","#N/A",,,
10111,"SRV85","SRV85 - Hexis Portal Prod","SRV84","SRV84_SQLDev","poweredOn","RWERES-DC",FALSE,"10.112.63.208",FALSE,"10.112.61.23","#N/A","skip","Does not exist in assets => could be an app => put in Analyze HG",
10193,"SRV85B",,"SRV85b","SRV85b_HexisPortal","poweredOn","RWERES-DC",TRUE,"10.112.61.33",TRUE,"10.112.61.33","#N/A",,,
10194,"SRV85A",,"SRV85a","SRV85a_HexisPortal","poweredOn","RWERES-DC",TRUE,"10.112.61.34",TRUE,"10.112.61.34","#N/A",,,
10203,"SRV87",,"SRV87","SRV87_Biztalk","poweredOn","RWERES-DC",TRUE,"10.112.63.206",TRUE,"10.112.63.206","#N/A",,,
10205,"SRV01-neu","SRV01-neu - VEEAM","SQL24703","SQL24703_SQL2_PV_Poland","poweredOn","RWERES-DC",FALSE,"10.60.199.7",FALSE,"10.112.63.165","#N/A","skip","Does not exist in assets => could be an app => put in Analyze HG",
10206,"SRV54",,"SRV54","SRV54_Direktvermarktung","poweredOn","RWERES-DC",TRUE,"10.112.61.245",TRUE,"10.112.61.245","#N/A",,,
10264,"SRV33",,"SRV33","SRV33_DH","poweredOn","RWERES-DC",TRUE,"10.112.63.181",TRUE,"10.112.63.181","#N/A",,,
10275,"SRV53","SRV53 - Hexis Portal Test","SRV53","SRV53_HexisPortal_restApr16","poweredOn","RWERES-DC",TRUE,"10.112.61.22",TRUE,"10.112.61.22","#N/A",,,
